time , pgn , destination , source , priority , data
16.181289,65270,255,0,6, FF 00 45 FF 00 FF FF FF 
16.196759,61444,255,0,3, F0 FF 7D 2E 05 FF FF FF 
16.212231,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
16.228215,61184,255,0,3, 64 06 F8 7C FF FF FF FF 
16.243174,61444,255,0,3, F0 FF 7D FC 08 FF FF FF 
16.258644,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
16.274129,61184,255,0,3, 64 06 F2 7C FF FF FF FF 
16.289597,61444,255,0,3, FE FF 7D E4 06 FF FF FF 
16.305557,65530,255,0,6, 02 2C 00 00 18 0C 00 00 
16.320529,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.336001,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.35198,65266,255,0,6, 1B 00 FF FF FF FF FF FF 
16.366943,61444,255,0,3, FE FF B7 22 06 FF FF FF 
16.382427,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.397886,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.413855,61184,6,0,6, 64 0E 49 00 FF FF FF FF 
16.428829,65269,255,0,6, C8 FF FF FF FF 3F FF FF 
16.444299,61444,255,0,3, FE FF B7 92 05 FF FF FF 
16.45977,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.47574,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.490727,61184,255,0,6, 64 10 00 00 00 00 00 7D 
16.506194,61444,255,0,3, FE FF B6 DA 04 FF FF FF 
16.521655,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.537625,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.552607,65129,255,0,6, D8 25 66 27 FF FF 60 FE 
16.568068,61444,255,0,3, FE FF B6 88 05 FF FF FF 
16.583539,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.59951,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.614483,61444,255,0,3, FE FF B6 B8 06 FF FF FF 
16.629953,65247,255,0,6, 80 20 1C FF FF FF FF FF 
16.645438,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.661394,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.676366,65266,255,0,6, 1B 00 FF FF FF FF FF FF 
16.691838,61444,255,0,3, FE FF B7 54 07 FF FF FF 
16.707323,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.723279,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.738251,61184,6,0,6, 64 0E 53 06 FF FF FF FF 
16.753742,61444,255,0,3, FE FF B7 60 07 FF FF FF 
16.769204,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.785165,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.800155,61184,255,0,6, 64 10 00 00 00 00 00 7D 
16.815617,61444,255,0,3, FE FF B7 3E 07 FF FF FF 
16.831079,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.84705,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.862031,61444,255,0,3, FE FF B7 E6 06 FF FF FF 
16.877507,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.892963,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.908933,64892,255,0,6, F8 80 F0 F0 00 CF 03 FC 
16.923906,61444,255,0,3, FE FF B7 A2 06 FF FF FF 
16.939394,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
16.954851,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
16.970818,65266,255,0,6, 1B 00 FF FF FF FF FF FF 
17.001262,61444,255,0,3, FE FF B7 2A 06 FF FF FF 
17.016733,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
17.032204,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
17.048175,61184,6,0,6, 64 0E 5D 06 FF FF FF FF 
17.048674,61444,255,0,3, FE FF B7 8A 05 FF FF FF 
17.078618,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
17.094108,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
17.110062,61184,255,0,6, 64 10 00 00 00 00 00 7D 
17.279743,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
17.35702,61444,255,0,3, FE FF BB 28 0C FF FF FF 
17.7438,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
17.774724,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
17.929437,61184,255,0,3, 64 06 8C 7D FF FF FF FF 
18.053209,61444,255,0,3, FE FF BF 04 14 FF FF FF 
18.068696,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
18.146036,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
18.176993,61184,6,0,6, 64 0E 85 06 FF FF FF FF 
18.192461,61443,255,0,3, FF 00 64 FF 06 FF FF FF 
